md_strat,model,iteration,prop_miss_train,prop_miss_test,outcome,additional_missing_pct,auc,bri,ipa,cal_error,numeric,nominal
mia,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6167098993175328,0.11642757129166771,0.024140261744317715,1.55891215376958e-4,NA,NA
mia,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6119892287689176,0.1168783894867154,0.020361643664945084,2.804763373527244e-4,NA,NA
mia,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.5925587521882086,0.1178403088243889,0.012299134564471292,6.034157933941483e-4,NA,NA
mia,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7201754418306524,0.0677762905931475,0.040640688215905274,2.1851537551210475e-4,NA,NA
mia,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7183583409721978,0.0679887844438703,0.037632881907774474,2.918745064718511e-4,NA,NA
mia,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7106530349271409,0.06864502025023722,0.028344000411685277,6.598607621888552e-4,NA,NA
meanmode_si,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.6059254980066873,0.11737918002720873,0.01616417290827632,2.740530693310275e-4,NA,NA
meanmode_si,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6179829386428097,0.11645286664898136,0.023928243916467085,2.0256137778281762e-4,NA,NA
meanmode_si,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.6145578492083718,0.11726895517025666,0.017088043421602195,4.449365412991151e-4,0,0.6722051282051282
meanmode_si,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6030737465142181,0.11710637430038619,0.018450745772574773,1.314155184491582e-4,0,0.6722051282051282
meanmode_si,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.5881437479620751,0.11889456073852465,0.003462722488101644,9.008764363256674e-4,0,0.6763589743589744
meanmode_si,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.5927959219589668,0.11807033828564188,0.010371099071167955,4.7543894848178455e-4,0,0.6763589743589744
meanmode_si,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7040384060785682,0.06818396215055993,0.034870182020739215,1.8526652563733063e-4,NA,NA
meanmode_si,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7210928555358939,0.06763466802117989,0.04264532629784956,9.003244852169725e-5,NA,NA
meanmode_si,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7331768619790736,0.06735575196077143,0.046593325183850065,1.9475075784769743e-4,0,0.6682051282051282
meanmode_si,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7160798955967613,0.06812732472126572,0.035671873065105775,2.087749205438193e-4,0,0.6682051282051282
meanmode_si,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7200266493756309,0.06777720508334525,0.04062774379715539,5.244003716383279e-4,0,0.6683076923076923
meanmode_si,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7022131990444401,0.06862013728554486,0.02869621360708885,6.539159310484445e-4,0,0.6683076923076923
ranger_si,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6140682174918415,0.11678095077399378,0.021178344688917217,2.2338863508009288e-4,NA,NA
ranger_si,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.6274152461086965,0.11636218484351443,0.024688310642636435,2.3520963643209393e-4,-0.011919624936728577,0.6071794871794872
ranger_si,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6190491933851457,0.11630107898636241,0.025200480956804383,1.611104071435247e-4,-0.011919624936728577,0.6071794871794872
ranger_si,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.6119257379269952,0.1173535090969294,0.01637933867206609,4.029857946090475e-4,-0.0630767908611651,0.5994358974358974
ranger_si,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.5981925421081825,0.11721640097931736,0.01752853632586271,1.980166476357803e-4,-0.0630767908611651,0.5994358974358974
ranger_si,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7207938683247895,0.06767569280648787,0.042064628985342134,1.398343139734876e-4,NA,NA
ranger_si,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7316690033196324,0.06722227316696334,0.04848268977794068,5.298348681788676e-5,-0.0010543389790773048,0.6073846153846154
ranger_si,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7199446867156456,0.06772494887175468,0.04136741961519219,1.4987894811369608e-4,-0.0010543389790773048,0.6073846153846154
ranger_si,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7031529213036742,0.0679675585819921,0.0379333295726626,1.6488790518715349e-4,-0.06089026661209728,0.598974358974359
ranger_si,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7037161721196171,0.06814386411051544,0.03543776144658728,2.4574188806950515e-4,-0.06089026661209728,0.598974358974359
ranger_mi,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.616188877142917,0.11649429084222344,0.023581039195744946,1.9058475417504532e-4,NA,NA
ranger_mi,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.616310799874908,0.11684298416266649,0.020658400093649387,2.5110991463020665e-4,-0.04414665828339546,0.6101128205128206
ranger_mi,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6147807170953667,0.11681921417037706,0.02085763278567032,2.7374226819771853e-4,-0.04414665828339546,0.6101128205128206
ranger_mi,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.6044721518260726,0.11729023539642007,0.01690967917588737,1.0637269635646796e-4,-0.08041190779111017,0.6007692307692307
ranger_mi,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.6076540723003976,0.1171624052516455,0.017981111743250677,3.021897019567218e-4,-0.08041190779111017,0.6007692307692307
ranger_mi,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7229910252844279,0.0676324782827732,0.04267632159004453,1.0838246116764427e-4,NA,NA
ranger_mi,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7339094150130099,0.06712440959877652,0.049867928252970706,1.1567899620552638e-4,-0.04488809726291354,0.610276923076923
ranger_mi,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7187444151462475,0.06769579996563435,0.0417800163251939,2.0244635548135128e-4,-0.04488809726291354,0.610276923076923
ranger_mi,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.6979872449486184,0.06834735836068799,0.03255734261444043,2.8981263066243614e-4,-0.07758058947894529,0.6008
ranger_mi,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7084333509425399,0.06823382350466616,0.03416440491282513,2.7903772275436156e-4,-0.07758058947894529,0.6008
pmm_mi,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.6228454150511148,0.11667721223561296,0.022047848894735655,2.4117061212300145e-4,NA,NA
pmm_mi,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6117430365957608,0.11667667162151135,0.022052380154211737,1.652803017244464e-4,NA,NA
pmm_si,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.605372939191495,0.11740416164891349,0.015954784714848014,3.138318136469519e-4,NA,NA
pmm_si,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6045997128529877,0.11728318713231428,0.016968755536315827,1.2140264769873913e-4,NA,NA
pmm_mi,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.6061978594762892,0.11737802487480117,0.016173855036947238,2.0950312281141394e-4,-0.3325786655637016,0.6154666666666667
pmm_mi,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6160688135280676,0.11683138916801017,0.020755585737263327,3.0676311596635023e-4,-0.3325786655637016,0.6154666666666667
pmm_si,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.5842548628483423,0.11845084016096263,0.007181850542345658,5.327253161089909e-4,-0.3394957204428373,0.6281025641025642
pmm_si,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6005122628067534,0.11755169991191487,0.01471816482217203,3.463319793097821e-4,-0.3394957204428373,0.6281025641025642
pmm_mi,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.6029418367474216,0.11750932506407427,0.015073337634449957,6.499894979571432e-4,-0.3012017665382277,0.6024307692307692
pmm_mi,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.6018944126138641,0.11699936148414589,0.019347693958366996,3.0635193876334035e-4,-0.3012017665382277,0.6024307692307692
pmm_si,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.558940050281022,0.11890638550794935,0.0033636109437509276,5.976764342486639e-4,-0.32740757115334274,0.5962051282051282
pmm_si,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.590764478158821,0.11769191877064814,0.013542893902544595,4.38911322421847e-4,-0.32740757115334274,0.5962051282051282
pmm_mi,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7035214531122657,0.06823070798838693,0.03420850439846135,1.7976371049000417e-4,NA,NA
pmm_mi,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7235619183755587,0.0675435400683166,0.04393522353740209,8.432451437701226e-5,NA,NA
pmm_si,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7023252100426491,0.06822966148381408,0.03422331745326268,1.8850023346412772e-4,NA,NA
pmm_si,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7194396510204437,0.0676728606656885,0.04210471734993659,5.24739685968912e-5,NA,NA
pmm_mi,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7029042340261068,0.06827692591413351,0.03355429926200015,1.6616723250735847e-4,-0.2886678026316296,0.6243076923076923
pmm_mi,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7208901551850398,0.06771522536082485,0.04150505389219561,1.458732799296421e-4,-0.2886678026316296,0.6243076923076923
pmm_si,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.6928908598237954,0.06835021763722,0.03251687014918825,7.987687687639499e-5,-0.25701884477988984,0.6096410256410256
pmm_si,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7109567400917054,0.06821265534783204,0.0344640357748035,2.230927764648286e-4,-0.25701884477988984,0.6096410256410256
pmm_mi,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.6921652670489684,0.06834996648513308,0.032520425154797916,1.411303802050621e-4,-0.3512190997579529,0.6001025641025641
pmm_mi,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.709144114764856,0.06838190394740976,0.032068357011768356,3.995607574281148e-4,-0.3512190997579529,0.6001025641025641
pmm_si,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.686372186816854,0.06845840168143137,0.030985547480267606,1.967072578591727e-4,-0.3487561943757703,0.6068205128205129
pmm_si,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.707080846170504,0.06819758406943514,0.03467736658922271,2.1335598963129944e-4,-0.3487561943757703,0.6068205128205129
bayesreg_mi,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.6122664908128096,0.11706525998587174,0.018795353186055186,2.4283657122234958e-4,NA,NA
bayesreg_mi,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6134511125289538,0.11656810043701026,0.02296239009871126,1.1273242718995494e-4,NA,NA
bayesreg_si,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.612094409131662,0.11705205205622389,0.018906057949764077,1.515463786085483e-4,NA,NA
bayesreg_si,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6112454312242261,0.11667145354453637,0.02209611645459586,2.4567616414940534e-4,NA,NA
bayesreg_mi,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.6035393507979013,0.11753567551621022,0.014852476329528574,3.3843936198950424e-4,-0.34052544232044674,0.6231794871794871
bayesreg_mi,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6164322383254802,0.11681769920807028,0.020870330729153674,4.325597302810521e-4,-0.34052544232044674,0.6231794871794871
bayesreg_si,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.5986897698493079,0.11801870772354596,0.010803850405357585,4.011346128536018e-4,-0.33129054593557894,0.6255384615384615
bayesreg_si,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6102366097086128,0.11708176948378875,0.01865697570263536,4.890826858305038e-4,-0.33129054593557894,0.6255384615384615
bayesreg_mi,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.6041929690417744,0.11736899886529047,0.016249508245039568,4.890930591648494e-4,-0.348595123480856,0.6046358974358974
bayesreg_mi,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.6125465143332521,0.11755416010507301,0.014697544247296856,9.27145703040718e-4,-0.348595123480856,0.6046358974358974
bayesreg_si,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.5949732494023434,0.11777172417365553,0.012873989803402153,4.891688538656751e-4,-0.35343465512621297,0.603948717948718
bayesreg_si,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.6061212098943499,0.1175263038378753,0.01493102682633507,7.629933668049792e-4,-0.35343465512621297,0.603948717948718
bayesreg_mi,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7080521294539788,0.06817208733662565,0.03503826754480455,1.8158313699864694e-4,NA,NA
bayesreg_mi,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7225313805362581,0.06773857493106818,0.04117454557663203,8.506954849181827e-5,NA,NA
bayesreg_si,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7050724893049373,0.0681440106341742,0.035435687434639984,1.7545534620486592e-4,NA,NA
bayesreg_si,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7286293349878633,0.067403274494253193,0.045920653595949434,8.129229918921963e-5,NA,NA
bayesreg_mi,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7057532785541024,0.06803351287611813,0.03699976024232299,8.302852190307343e-5,-0.3495049645219983,0.6179692307692307
bayesreg_mi,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7221222538542895,0.06787104361663884,0.03929947885477647,2.1319779252419177e-4,-0.3495049645219983,0.6179692307692307
bayesreg_si,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.705786993932134,0.06808719930818156,0.03623983995064317,1.5509853484214244e-4,-0.3478317155461173,0.6204102564102564
bayesreg_si,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7182687411832182,0.06793965404776266,0.03832831245708623,1.1878250186093583e-4,-0.3478317155461173,0.6204102564102564
bayesreg_mi,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7031121218856109,0.06820895698173068,0.03451638537857593,1.0875215677985545e-4,-0.3293090974119348,0.6022461538461539
bayesreg_mi,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.705400328822146,0.06832400064176915,0.032887966272812985,3.667422192329553e-4,-0.3293090974119348,0.6022461538461539
bayesreg_si,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.6921448908821274,0.06834465495873566,0.03259560870740241,2.953159290674872e-4,-0.3324936743578951,0.6028717948717949
bayesreg_si,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.6919265792091202,0.06854709131298094,0.029730164172312223,1.7997432984387095e-4,-0.3324936743578951,0.6028717948717949
hotdeck_si,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.6060795486505064,0.11727128306529672,0.01706853172845879,3.184899369908218e-4,NA,NA
hotdeck_si,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6147872234969384,0.1166566154541038,0.02222048471964766,1.7528309695266495e-4,NA,NA
hotdeck_si,cph,1,0.21343720930232557,0.07112093023255814,dead,15,0.5930997635278159,0.11771250665705657,0.013370332633603876,4.0261110149511704e-4,-0.2932249984153486,0.576
hotdeck_si,xgb,1,0.21343720930232557,0.07112093023255814,dead,15,0.6000448700253973,0.1173069455963354,0.016769619470659025,1.375613901850085e-4,-0.2932249984153486,0.576
hotdeck_si,cph,1,0.3680318181818182,0.08901818181818182,dead,30,0.6092955534390785,0.11735621185183913,0.016356685019932815,3.1526263877056565e-4,-0.31406802897297836,0.5720512820512821
hotdeck_si,xgb,1,0.3680318181818182,0.08901818181818182,dead,30,0.6090569780885374,0.1168251091751137,0.020808222687052846,1.8230098010401516e-4,-0.31406802897297836,0.5720512820512821
hotdeck_si,cph,1,0.05690952380952381,0.057723809523809524,txpl,0,0.7065633225332699,0.06813990892739033,0.03549374624197332,1.812207760006801e-4,NA,NA
hotdeck_si,xgb,1,0.05690952380952381,0.057723809523809524,txpl,0,0.71783127844503,0.06786340132576023,0.039407653894360406,1.3679494722142668e-4,NA,NA
hotdeck_si,cph,1,0.21343720930232557,0.07112093023255814,txpl,15,0.682817821219701,0.06853342012628343,0.029923676979617175,2.632540839709679e-4,-0.35234168870247307,0.5665641025641026
hotdeck_si,xgb,1,0.21343720930232557,0.07112093023255814,txpl,15,0.7139389243646435,0.06794480549617664,0.038255394775078666,1.8124374009390233e-4,-0.35234168870247307,0.5665641025641026
hotdeck_si,cph,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7179601812075971,0.06772261926293364,0.041400394744042,1.1140800825340485e-4,-0.2956045263112255,0.5636410256410256
hotdeck_si,xgb,1,0.3680318181818182,0.08901818181818182,txpl,30,0.7082760302192648,0.06823524252337028,0.034144318997891165,3.40400479538981e-4,-0.2956045263112255,0.5636410256410256
hotdeck_mi,cph,1,0.05690952380952381,0.057723809523809524,dead,0,0.6057411106786798,0.1173978342294107,0.016007819179720162,2.883401630353218e-4,NA,NA
hotdeck_mi,xgb,1,0.05690952380952381,0.057723809523809524,dead,0,0.6143975199917601,0.11669142937386462,0.021928685257986302,1.7645258727084918e-4,NA,NA
