iteration,outcome,additional_missing_pct,md_strat,prop_miss_train,prop_miss_test,model,auc,bri,ipa,cal_error,numeric,nominal
1,dead,0,mia,0.04569756097560976,0.04708292682926829,xgb,0.625051268961771,0.11284803555534154,0.024876438367789633,3.025133008121093e-4,NA,NA
2,dead,0,mia,0.04635121951219512,0.04642926829268293,xgb,0.6001600941146452,0.1141435554642861,0.013836471526065153,2.7316183351220214e-4,NA,NA
3,dead,0,mia,0.04744390243902439,0.04533658536585366,xgb,0.6208450527790982,0.11058089380770325,0.022910815560468367,2.507290085018491e-4,NA,NA
4,dead,0,mia,0.047204878048780485,0.04557560975609756,xgb,0.6303913547410934,0.11268931719673092,0.026990880613520063,2.6817235602009996e-4,NA,NA
5,dead,0,mia,0.046760975609756096,0.04601951219512195,xgb,0.6259505443717579,0.1098329161975601,0.025856621227749677,4.1463886604421014e-4,NA,NA
6,dead,0,mia,0.04632682926829268,0.04645365853658537,xgb,0.6105019067425996,0.11482685907255266,0.019801868565444303,1.6995045249016655e-4,NA,NA
7,dead,0,mia,0.0457219512195122,0.04705853658536585,xgb,0.6266618215276484,0.11737731963593499,0.025266467767762757,3.09363389917142e-4,NA,NA
8,dead,0,mia,0.046282926829268295,0.04649756097560975,xgb,0.628028340241059,0.11525571635805636,0.025939127317252453,4.4522722545591525e-4,NA,NA
9,dead,0,mia,0.04645365853658537,0.04632682926829268,xgb,0.6019911547376604,0.1172561222602209,0.01632697465630406,3.8138248742663946e-4,NA,NA
10,dead,0,mia,0.056652380952380954,0.05798095238095238,xgb,0.6044697214850523,0.11239850844749921,0.015290109437903987,4.960426676699944e-4,NA,NA
1,dead,0,ranger_si,0.04569756097560976,0.04708292682926829,cph,0.6215338274360522,0.11316450706404675,0.022141797722916245,1.8255767336444246e-4,NA,NA
1,dead,0,ranger_si,0.04569756097560976,0.04708292682926829,xgb,0.6270497365030325,0.11249082821071185,0.027963078701600863,2.1323843771444022e-4,NA,NA
2,dead,0,ranger_si,0.04635121951219512,0.04642926829268293,cph,0.611820031691391,0.11420534090780263,0.013302665208759334,3.446542393157965e-4,NA,NA
2,dead,0,ranger_si,0.04635121951219512,0.04642926829268293,xgb,0.5944307074516881,0.1143802123396512,0.011791832402127223,3.8432284681867647e-4,NA,NA
3,dead,0,ranger_si,0.04744390243902439,0.04533658536585366,cph,0.5969435744159521,0.11266974228267343,0.00445381831123659,8.561707179730863e-4,NA,NA
3,dead,0,ranger_si,0.04744390243902439,0.04533658536585366,xgb,0.620468208431519,0.1108756345722742,0.02030649574210519,3.568401457970048e-4,NA,NA
4,dead,0,ranger_si,0.047204878048780485,0.04557560975609756,cph,0.6216017773811806,0.11326100074496821,0.022054713462316133,1.5516522854306167e-4,NA,NA
4,dead,0,ranger_si,0.047204878048780485,0.04557560975609756,xgb,0.6250309917035468,0.11314834383071959,0.02302744280039959,4.1389737299721166e-4,NA,NA
5,dead,0,ranger_si,0.046760975609756096,0.04601951219512195,cph,0.6184927027897372,0.11049609710491101,0.019974656947915448,2.137332707418778e-4,NA,NA
5,dead,0,ranger_si,0.046760975609756096,0.04601951219512195,xgb,0.6230470154136066,0.1099032837905085,0.02523250846516467,2.8819835748812345e-4,NA,NA
6,dead,0,ranger_si,0.04632682926829268,0.04645365853658537,cph,0.6177262653193062,0.11471659833433523,0.02074308885522891,8.430858495142608e-5,NA,NA
6,dead,0,ranger_si,0.04632682926829268,0.04645365853658537,xgb,0.6050847509381453,0.11501039211175614,0.018235172902628327,1.563285423022733e-4,NA,NA
7,dead,0,ranger_si,0.0457219512195122,0.04705853658536585,cph,0.623445613098809,0.11845384266306062,0.016326724587273134,4.073157777011805e-4,NA,NA
7,dead,0,ranger_si,0.0457219512195122,0.04705853658536585,xgb,0.622141796105987,0.11775467185773782,0.022132831174301648,3.43366048846282e-4,NA,NA
8,dead,0,ranger_si,0.046282926829268295,0.04649756097560975,cph,0.6268493699120055,0.11544270149885351,0.02435885941229443,4.7030475243292055e-4,NA,NA
8,dead,0,ranger_si,0.046282926829268295,0.04649756097560975,xgb,0.6247857631183706,0.11532520905956356,0.02535182350609133,3.0157192603652734e-4,NA,NA
9,dead,0,ranger_si,0.04645365853658537,0.04632682926829268,cph,0.612459780624479,0.11736000605207714,0.015455483412609161,4.4734119484041916e-4,NA,NA
9,dead,0,ranger_si,0.04645365853658537,0.04632682926829268,xgb,0.6015557601857646,0.11760829571470567,0.013372557260085127,3.4640930743355235e-4,NA,NA
10,dead,0,ranger_si,0.056652380952380954,0.05798095238095238,cph,0.6110387721594593,0.11280578806725858,0.011721981396518588,7.946645405895885e-4,NA,NA
10,dead,0,ranger_si,0.056652380952380954,0.05798095238095238,xgb,0.6007722288103527,0.11226156829788145,0.01648982571177826,5.199282838722657e-4,NA,NA
1,dead,0,meanmode_si,0.04569756097560976,0.04708292682926829,cph,0.6103316370077987,0.11367930860435879,0.017693380796095726,7.004521463922715e-5,NA,NA
1,dead,0,meanmode_si,0.04569756097560976,0.04708292682926829,xgb,0.6231812435461426,0.11300284889733175,0.023538691222376062,2.4636872711040195e-4,NA,NA
2,dead,0,meanmode_si,0.04635121951219512,0.04642926829268293,cph,0.5999980764266767,0.11453368650378995,0.010465865091743076,2.880192142350867e-4,NA,NA
2,dead,0,meanmode_si,0.04635121951219512,0.04642926829268293,xgb,0.5983664213027735,0.11428837654766337,0.012585264044400302,3.6079888123000646e-4,NA,NA
3,dead,0,meanmode_si,0.04744390243902439,0.04533658536585366,cph,0.6210712419334222,0.11095135017542222,0.019637475133012505,4.987624542491199e-4,NA,NA
3,dead,0,meanmode_si,0.04744390243902439,0.04533658536585366,xgb,0.6193719714879513,0.11063618557371635,0.02242225931264219,3.803350258766534e-4,NA,NA
4,dead,0,meanmode_si,0.047204878048780485,0.04557560975609756,cph,0.6186421932475217,0.11353055555432363,0.01972725870261227,4.525153963736814e-4,NA,NA
4,dead,0,meanmode_si,0.047204878048780485,0.04557560975609756,xgb,0.6282041174937377,0.11319128202764334,0.02265669552624683,4.860926680513572e-4,NA,NA
5,dead,0,meanmode_si,0.046760975609756096,0.04601951219512195,cph,0.6095888785984677,0.1108441938072855,0.016887275591486617,3.0550710429407614e-4,NA,NA
5,dead,0,meanmode_si,0.046760975609756096,0.04601951219512195,xgb,0.6279048534459407,0.11009899482488633,0.023496684498250153,3.9468677314758127e-4,NA,NA
6,dead,0,meanmode_si,0.04632682926829268,0.04645365853658537,cph,0.607782877046208,0.11522818342893287,0.016376037819917255,1.9198383271059656e-4,NA,NA
6,dead,0,meanmode_si,0.04632682926829268,0.04645365853658537,xgb,0.6066637581373544,0.11490370970573381,0.019145847424988593,9.01420612906934e-5,NA,NA
7,dead,0,meanmode_si,0.0457219512195122,0.04705853658536585,cph,0.6232548783062009,0.11848554581684978,0.016063452882214113,2.6273779908508914e-4,NA,NA
7,dead,0,meanmode_si,0.0457219512195122,0.04705853658536585,xgb,0.6187298253489164,0.11786982901458787,0.021176534484221965,4.201001785576431e-4,NA,NA
8,dead,0,meanmode_si,0.046282926829268295,0.04649756097560975,cph,0.6216600273552733,0.11563281130964671,0.022752183977372775,1.7358687269505483e-4,NA,NA
8,dead,0,meanmode_si,0.046282926829268295,0.04649756097560975,xgb,0.6267912567531632,0.11550323485171364,0.023847273762779397,5.585635925216801e-4,NA,NA
9,dead,0,meanmode_si,0.04645365853658537,0.04632682926829268,cph,0.6021353944452335,0.11772785781374294,0.012369539171055766,5.311026756968257e-4,NA,NA
9,dead,0,meanmode_si,0.04645365853658537,0.04632682926829268,xgb,0.5967640719345819,0.11761071543245231,0.013352258012332086,3.5199683578530363e-4,NA,NA
10,dead,0,meanmode_si,0.056652380952380954,0.05798095238095238,cph,0.6058419157162069,0.11331654639593997,0.007247288761478399,9.389067165838807e-4,NA,NA
10,dead,0,meanmode_si,0.056652380952380954,0.05798095238095238,xgb,0.598200733269314,0.11261278819290514,0.013412830214515448,4.737134497097912e-4,NA,NA
1,dead,0,ranger_mi,0.04569756097560976,0.04708292682926829,cph,0.6209801693815923,0.11319650173493831,0.021865330726574705,1.2923742608041272e-4,NA,NA
1,dead,0,ranger_mi,0.04569756097560976,0.04708292682926829,xgb,0.6285316458889677,0.11267104160416345,0.02640584888176778,2.3763276913156797e-4,NA,NA
2,dead,0,ranger_mi,0.04635121951219512,0.04642926829268293,cph,0.6036944511982597,0.11449209155668932,0.010825232027814047,2.2469356004438333e-4,NA,NA
2,dead,0,ranger_mi,0.04635121951219512,0.04642926829268293,xgb,0.5957323605117709,0.11436009518888302,0.01196563810060669,2.3616074230440744e-4,NA,NA
3,dead,0,ranger_mi,0.04744390243902439,0.04533658536585366,cph,0.6206793385117799,0.11092434587863516,0.019876084221938095,4.2605933745611997e-4,NA,NA
3,dead,0,ranger_mi,0.04744390243902439,0.04533658536585366,xgb,0.6259818230520074,0.11051646028623449,0.023480148062446138,3.988425259942665e-4,NA,NA
4,dead,0,ranger_mi,0.047204878048780485,0.04557560975609756,cph,0.6248355959975812,0.11317589993645823,0.02278951126575668,3.2864412340579335e-4,NA,NA
4,dead,0,ranger_mi,0.047204878048780485,0.04557560975609756,xgb,0.6286678739892125,0.1129638831739532,0.024620157226811212,3.094354290861277e-4,NA,NA
5,dead,0,ranger_mi,0.046760975609756096,0.04601951219512195,cph,0.6202018974352543,0.11043405024770647,0.020524970435091827,2.831346772496921e-4,NA,NA
5,dead,0,ranger_mi,0.046760975609756096,0.04601951219512195,xgb,0.6294507916520087,0.10988170187218495,0.025423925424341687,4.4532109467180505e-4,NA,NA
6,dead,0,ranger_mi,0.04632682926829268,0.04645365853658537,cph,0.6163879508803325,0.11474718970995347,0.020481951265459375,6.772744457361224e-5,NA,NA
6,dead,0,ranger_mi,0.04632682926829268,0.04645365853658537,xgb,0.611878176650445,0.11477101178823518,0.020278598523712166,3.2120118576915284e-4,NA,NA
7,dead,0,ranger_mi,0.0457219512195122,0.04705853658536585,cph,0.6236310766398431,0.11845068699554628,0.016352930117884523,3.6995823920828186e-4,NA,NA
7,dead,0,ranger_mi,0.0457219512195122,0.04705853658536585,xgb,0.6242226082794612,0.11763301161465395,0.023143131280328855,3.8109962264958145e-4,NA,NA
8,dead,0,ranger_mi,0.046282926829268295,0.04649756097560975,cph,0.626466284521423,0.11537674375072758,0.024916288264674624,4.794739162108058e-4,NA,NA
8,dead,0,ranger_mi,0.046282926829268295,0.04649756097560975,xgb,0.6279550382499285,0.11532435489182469,0.025359042335659443,3.644399997289737e-4,NA,NA
9,dead,0,ranger_mi,0.04645365853658537,0.04632682926829268,cph,0.6106431724378567,0.11734889323721083,0.015548709898432822,5.03651049218193e-4,NA,NA
9,dead,0,ranger_mi,0.04645365853658537,0.04632682926829268,xgb,0.6054170013336649,0.11721049329453585,0.01670976049173456,3.754581236083483e-4,NA,NA
10,dead,0,ranger_mi,0.056652380952380954,0.05798095238095238,cph,0.609581097770861,0.11299309386730784,0.010081017682535554,6.305127943812941e-4,NA,NA
10,dead,0,ranger_mi,0.056652380952380954,0.05798095238095238,xgb,0.6067265507939732,0.11205079842106899,0.018336355396171067,4.6673157712437234e-4,NA,NA
1,dead,0,pmm_mi,0.04569756097560976,0.04708292682926829,cph,0.6111164622012304,0.11363422475179562,0.018082951838845007,8.589820454987924e-5,NA,NA
1,dead,0,pmm_mi,0.04569756097560976,0.04708292682926829,xgb,0.6255461843909979,0.11285138036823346,0.02484753573032572,1.828092632070349e-4,NA,NA
1,dead,0,pmm_si,0.04569756097560976,0.04708292682926829,cph,0.6190856209788168,0.11324972858272053,0.021405395796130988,1.1798940815881925e-4,NA,NA
1,dead,0,pmm_si,0.04569756097560976,0.04708292682926829,xgb,0.6205655742097729,0.11287617817382761,0.024633257082118498,2.2122770938246396e-4,NA,NA
2,dead,0,pmm_mi,0.04635121951219512,0.04642926829268293,cph,0.6037330444089536,0.11418131650596387,0.013510228297103799,1.9142841157288954e-4,NA,NA
2,dead,0,pmm_mi,0.04635121951219512,0.04642926829268293,xgb,0.6007249344113225,0.1139889635073438,0.01517209620598503,2.2400977264402236e-4,NA,NA
2,dead,0,pmm_si,0.04635121951219512,0.04642926829268293,cph,0.5944964639866297,0.11474586580243297,0.008632704341074215,2.9061686934491604e-4,NA,NA
2,dead,0,pmm_si,0.04635121951219512,0.04642926829268293,xgb,0.5940464791076558,0.11416449878028097,0.013655528026316754,2.8700915645956006e-4,NA,NA
3,dead,0,pmm_mi,0.04744390243902439,0.04533658536585366,cph,0.6108021366475569,0.11139053528182158,0.015756849803866824,3.779988372786453e-4,NA,NA
3,dead,0,pmm_mi,0.04744390243902439,0.04533658536585366,xgb,0.622401500823691,0.11060556178472065,0.02269285011711042,2.6428721153712065e-4,NA,NA
3,dead,0,pmm_si,0.04744390243902439,0.04533658536585366,cph,0.6101731737925932,0.1116500050389506,0.013464183461154966,3.8339535745907246e-4,NA,NA
3,dead,0,pmm_si,0.04744390243902439,0.04533658536585366,xgb,0.6196579746298508,0.1106547919316536,0.02225785413850856,3.3010959474326845e-4,NA,NA
4,dead,0,pmm_mi,0.047204878048780485,0.04557560975609756,cph,0.621569247600252,0.11329938432564227,0.021723292747738876,1.9577654741031477e-4,NA,NA
4,dead,0,pmm_mi,0.047204878048780485,0.04557560975609756,xgb,0.6307527012554375,0.11296943488804936,0.02457222128595926,3.946498394808082e-4,NA,NA
4,dead,0,pmm_si,0.047204878048780485,0.04557560975609756,cph,0.6204952405431388,0.11341210909624318,0.020749977508070172,1.079495295128817e-4,NA,NA
4,dead,0,pmm_si,0.047204878048780485,0.04557560975609756,xgb,0.6288980446151428,0.11316871487310257,0.02285155026237451,4.2946112990951475e-4,NA,NA
5,dead,0,pmm_mi,0.046760975609756096,0.04601951219512195,cph,0.6160248102252728,0.11055470767751079,0.019454820971591014,3.281979467630365e-4,NA,NA
5,dead,0,pmm_mi,0.046760975609756096,0.04601951219512195,xgb,0.6272065993478401,0.10995971516547648,0.024732000491933803,3.2946303754612826e-4,NA,NA
5,dead,0,pmm_si,0.046760975609756096,0.04601951219512195,cph,0.5998971699217761,0.11123596911384007,0.013412494678266329,3.2732932008872203e-4,NA,NA
5,dead,0,pmm_si,0.046760975609756096,0.04601951219512195,xgb,0.6212150170958137,0.11052976610703565,0.019676035763801725,5.255364984522185e-4,NA,NA
6,dead,0,pmm_mi,0.04632682926829268,0.04645365853658537,cph,0.612525786117784,0.11496104808755296,0.018656388990154094,1.7675939065160085e-4,NA,NA
6,dead,0,pmm_mi,0.04632682926829268,0.04645365853658537,xgb,0.6104613118933148,0.11469787014050002,0.02090295859956126,8.576240431682997e-5,NA,NA
6,dead,0,pmm_si,0.04632682926829268,0.04645365853658537,cph,0.6045404422908616,0.11525337545507894,0.01616099077295563,2.2585311991610556e-4,NA,NA
6,dead,0,pmm_si,0.04632682926829268,0.04645365853658537,xgb,0.6109365674925228,0.11472789916006171,0.02064662145770335,1.2553447204231212e-4,NA,NA
7,dead,0,pmm_mi,0.0457219512195122,0.04705853658536585,cph,0.6244045717014821,0.11840238835685112,0.01675401529211895,3.403243959944e-4,NA,NA
7,dead,0,pmm_mi,0.0457219512195122,0.04705853658536585,xgb,0.620936458454016,0.11771759424537592,0.02244073386092238,3.538700624916828e-4,NA,NA
7,dead,0,pmm_si,0.0457219512195122,0.04705853658536585,cph,0.6240312242831378,0.11843810110206039,0.01645744683756989,2.9273004792007475e-4,NA,NA
7,dead,0,pmm_si,0.0457219512195122,0.04705853658536585,xgb,0.6229819472256508,0.11784847991995973,0.02135382323541679,3.097733746343747e-4,NA,NA
8,dead,0,pmm_mi,0.046282926829268295,0.04649756097560975,cph,0.6213429505830571,0.11565129493535424,0.02259597327341878,2.0147011626571738e-4,NA,NA
8,dead,0,pmm_mi,0.046282926829268295,0.04649756097560975,xgb,0.6287153563304984,0.1153784002988473,0.024902288276143714,4.739019707591611e-4,NA,NA
8,dead,0,pmm_si,0.046282926829268295,0.04649756097560975,cph,0.6220257654241137,0.11563108993841135,0.022766731805634266,2.0405387251544793e-4,NA,NA
8,dead,0,pmm_si,0.046282926829268295,0.04649756097560975,xgb,0.6246601145239339,0.11561640644985088,0.022890826402702236,4.4752060524886776e-4,NA,NA
9,dead,0,pmm_mi,0.04645365853658537,0.04632682926829268,cph,0.6026227762787973,0.11771581111595648,0.012470600091616602,4.846204757613482e-4,NA,NA
9,dead,0,pmm_mi,0.04645365853658537,0.04632682926829268,xgb,0.6042808489554062,0.11710186254910446,0.017621074391120484,2.7693148290786935e-4,NA,NA
9,dead,0,pmm_si,0.04645365853658537,0.04632682926829268,cph,0.6026008399373154,0.11768102793881764,0.012762399551019654,4.2169382927701165e-4,NA,NA
9,dead,0,pmm_si,0.04645365853658537,0.04632682926829268,xgb,0.5987311037776846,0.11761698335040376,0.01329967583841185,4.181800383776824e-4,NA,NA
10,dead,0,pmm_mi,0.056652380952380954,0.05798095238095238,cph,0.6067418192942979,0.11304177781259411,0.009654503460086006,9.252787648513103e-4,NA,NA
10,dead,0,pmm_mi,0.056652380952380954,0.05798095238095238,xgb,0.605404630648123,0.11213153688481857,0.017629015370923873,3.3971202144094547e-4,NA,NA
10,dead,0,pmm_si,0.056652380952380954,0.05798095238095238,cph,0.6028001014846762,0.1139492703407949,0.001704069949236331,0.0011785081136943389,NA,NA
10,dead,0,pmm_si,0.056652380952380954,0.05798095238095238,xgb,0.6020612788087407,0.1125422858258941,0.014030493020390167,5.868414367139796e-4,NA,NA
1,dead,0,bayesreg_mi,0.04569756097560976,0.04708292682926829,cph,0.6106609440804753,0.11369029253287069,0.017598468311013193,6.232522864970422e-5,NA,NA
1,dead,0,bayesreg_mi,0.04569756097560976,0.04708292682926829,xgb,0.622012335015081,0.11304885428519233,0.023141157163018122,2.1234727860082464e-4,NA,NA
1,dead,0,bayesreg_si,0.04569756097560976,0.04708292682926829,cph,0.610849317249562,0.11365395747468751,0.01791244073572873,7.405500724548174e-5,NA,NA
1,dead,0,bayesreg_si,0.04569756097560976,0.04708292682926829,xgb,0.6183940007973768,0.11324966367936418,0.021405956628153477,1.4667360852113205e-4,NA,NA
2,dead,0,bayesreg_mi,0.04635121951219512,0.04642926829268293,cph,0.6063476499520326,0.11408599835615026,0.014333746388558444,1.8484045431408207e-4,NA,NA
2,dead,0,bayesreg_mi,0.04635121951219512,0.04642926829268293,xgb,0.6018784068522433,0.1140140197269465,0.014955618544735594,2.107512745936127e-4,NA,NA
